Sample,MI
AJA1,58.3131238095238
AJA2,42.10048571428571
AJA3,21.820490476190475
AJA4,8.776071428571429
AJA5,10.848223809523807
AJA6,11.02654761904762
AJA7,8.2396
AJA8,10.700719047619046
AJA9,8.612214285714286
AJA10,10.188071428571428
AJA11,8.027209523809523
AJA12,9.822795238095237
AJA13,6.964990476190476
AJA14,10.143109523809521
AJA15,9.121109523809526
AJA16,9.098509523809524
AJA17,9.683495238095237
AJA18,6.3368238095238105
AJA19,10.470557142857142
AJA20,9.234490476190476
AJA21,22.96744761904762
AJA22,21.915085714285716
AJA23,21.35034285714286
AJA24,18.637190476190476
AJA25,18.8003
