Model,Train R²,Test R²,CV R² (mean),CV R² (std),Train RMSE,Test RMSE,Train MAE,Test MAE
Random Forest,0.9905282391574387,0.6042244590378976,0.8789009360824636,0.033089549966383525,0.6694285932696198,5.270003274811864,0.43431078431372705,3.8179375000000033
XGBoost,0.9999920605951327,0.6564864839154201,0.35005608823877427,0.42525287441892284,0.01938129853401742,4.909738079423952,0.013779471902286514,3.4887467575073243
SVR,0.6520176135311548,-0.3212256557337472,0.33017554575188035,0.09241839141598085,4.057584077262973,9.628860806291378,3.268461291789158,7.623700871654119
