Sample,Irrigation_Score,Drinking_Score,Contamination,Water_Class
AJA6,0.6675290812925595,0.8757380101149965,0.05614818569685448,1
AJA14,0.5372838375329931,0.8295489511853866,0.22882897749474643,1
AJA12,0.5552743703813908,0.8678726869465293,0.2717636272578448,1
AJA10,0.6512921542575776,0.8809626856910634,0.19141152117455118,1
AJA20,0.6136930631704638,0.9081058530489003,0.214932725409697,1
AJA17,0.5866959558781848,0.9059002643599294,0.12334031256153341,1
AJA5,0.6852785584794442,0.8758638501151487,0.07804782704481084,4
AJA9,0.8474895327296673,0.9685930896634307,0.14693213371772887,5
AJA11,0.900787737227395,0.9631987673331063,0.104965026235657,5
AJA13,0.9614534268870623,0.9843072143652717,0.07462760118768048,5
AJA15,0.66940979276212,0.9264498700819156,0.1132322052000338,5
AJA16,0.5694249199321719,0.9263599056744247,0.1341081605029767,5
AJA4,0.8767556692469332,0.9656221733053527,0.07574657206399768,5
AJA18,0.9997489959839357,1.0,0.08757338551859097,5
AJA7,0.8772906269279654,0.9655327180345316,0.1110988345296125,5
AJA8,0.5190888429187506,0.8782634519094163,0.21518980883779748,6
AJA3,0.13669786731490327,0.6252412973032253,0.4872445160085361,6
AJA2,0.10430239846623945,0.3118930583800139,0.7475375629592478,6
AJA1,0.12542866168417774,0.0,0.8542074363992171,6
AJA19,0.5294888476724683,0.9219639541210012,0.13939666960426658,6
AJA21,0.061434129693320016,0.6282323017085149,0.33098011202430067,6
AJA22,0.14438459217112037,0.6232833946759851,0.3241060656392527,6
AJA23,0.08726655164581706,0.6407975392238574,0.32792091140302543,6
AJA24,0.07331452535440866,0.6760432268967188,0.2726783997961681,6
AJA25,0.0835415480256867,0.677345458835804,0.22760382016481343,6
