Target,Model,Test R²,Test RMSE
WQI,Random Forest,0.6042244590378976,5.270003274811864
WQI,XGBoost,0.6564864839154201,4.909738079423952
WQI,SVR,-0.3212256557337472,9.628860806291378
Health Risk,Random Forest,-0.36640391249458637,5.4952175066882
Health Risk,XGBoost,-0.49720785658846367,5.752231913133085
Health Risk,SVR,-0.3718548664554133,5.50616754970794
