Sample,X,Y,Ca,Mg,Na,K,HCO3,SO4,Cl,NO3,CO3,Fe,Pb,Cu,Cr,Mn,Zn,Ni,Co,Cd,Cf_Fe,Cf_Pb,Cf_Cu,Cf_Cr,Cf_Mn,Cf_Zn,Cf_Ni,Cf_Cd,Cf_Co,mCd,PLI,NPI,MI,HEI,WQI
AJA11,3.836951598,7.310532044,48.25,17.19,11.21,8.82,190,26,29.47,0.89,0,0.241,0.062,0.075,0.032,0.162,0.061,0.004,0.003,0.032833333333332604,0.8033333333333333,6.2,0.0375,0.64,0.40499999999999997,0.02033333333333333,0.2,0.6666666666666666,0.06,0.003648148148148067,0.27096732456477585,4.4411321532510835,9.032833333333333,9.032833333333333,0.03643511530398277
AJA12,3.835615737,7.312105481,60.29,25.03,19.87,11.19,242,40,44.54,4.79,0,0.597,0.074,0.078,0.042,0.171,0.073,0.005,0.003,2.697499999999998,1.99,7.3999999999999995,0.039,0.84,0.4275,0.024333333333333332,0.25,0.6666666666666666,0.06,0.299722222222222,0.3328780487601027,5.312686601661078,11.697499999999998,11.697499999999998,1.717353773584904
AJA13,3.836188249,7.307740067,47.63,16.59,10.36,7.62,190,22,27.03,0.68,0,0.239,0.054,0.064,0.028,0.098,0.082,0.003,0.003,-1.062333333333334,0.7966666666666666,5.3999999999999995,0.032,0.5599999999999999,0.245,0.027333333333333334,0.15,0.6666666666666666,0.06,-0.1180370370370371,0.24428169629917076,3.868970061142784,7.937666666666666,7.937666666666666,-0.6544153039832289
AJA14,3.840315106,7.309100566,69.47,27.62,21.62,11.59,274,42,50.32,4.59,2,0.703,0.075,0.076,0.048,0.175,0.072,0.004,0.003,3.2295,2.3433333333333333,7.5,0.038,0.96,0.43749999999999994,0.023999999999999997,0.2,0.6666666666666666,0.06,0.35883333333333334,0.33549971922141136,5.389639506858403,12.2295,12.2295,2.052948742138364
AJA15,3.839742594,7.308047658,52.28,18.61,15.65,10.41,202,30,37.24,2.63,0,0.524,0.068,0.072,0.042,0.167,0.067,0.004,0.003,1.7891666666666666,1.7466666666666668,6.800000000000001,0.036,0.84,0.4175,0.022333333333333334,0.2,0.6666666666666666,0.06,0.19879629629629628,0.3104560181131052,4.882474401367289,10.789166666666667,10.789166666666667,1.144361111111111
AJA16,3.842879482,7.30979856,50.62,18.42,16.82,10.82,202,32,36.37,2.51,0,0.566,0.067,0.073,0.044,0.165,0.063,0.004,0.003,1.8633333333333315,1.8866666666666665,6.7,0.0365,0.8799999999999999,0.4125,0.021,0.2,0.6666666666666666,0.06,0.20703703703703683,0.3121506945532991,4.813882965381437,10.863333333333332,10.863333333333332,1.1911467505241078
AJA17,3.840577507,7.309822221,54.19,19.38,17.51,11.08,208,36,40.18,3.96,0,0.597,0.072,0.076,0.045,0.172,0.066,0.005,0.003,2.5566666666666666,1.99,7.199999999999999,0.038,0.8999999999999999,0.42999999999999994,0.022000000000000002,0.25,0.6666666666666666,0.06,0.2840740740740741,0.32995587713320745,5.171501050358067,11.556666666666667,11.556666666666667,1.6285136268343814
AJA18,3.845396149,7.311608607,46.73,16.61,10.13,6.24,188,20,26.61,0.51,0,0.221,0.048,0.062,0.029,0.087,0.062,0.003,0.003,-1.7374999999999998,0.7366666666666667,4.8,0.031,0.58,0.21749999999999997,0.020666666666666667,0.15,0.6666666666666666,0.06,-0.19305555555555554,0.22874607690665036,3.4417407903864397,7.2625,7.2625,-1.0803223270440252
AJA19,3.846863211,7.313891858,50.29,18.32,17.61,10.54,200,30,38.36,3.52,0,2.308,0.064,0.072,0.044,0.143,0.063,0.003,0.003,7.264500000000002,7.693333333333333,6.4,0.036,0.8799999999999999,0.35749999999999993,0.021,0.15,0.6666666666666666,0.06,0.8071666666666668,0.34556133497241703,5.588077895792474,16.2645,16.2645,4.598297798742139
AJA20,3.844620873,7.315015734,53.12,21.06,17.37,11.08,204,36,44.67,1.89,0,0.469,0.071,0.069,0.036,0.169,0.062,0.003,0.003,1.7376666666666658,1.5633333333333332,7.1,0.0345,0.7199999999999999,0.4225,0.020666666666666667,0.15,0.6666666666666666,0.06,0.19307407407407398,0.28986113728617796,5.090845987958568,10.737666666666666,10.737666666666666,1.1118740041928714
AJA21,3.837082799,7.310922446,68.34,24.16,30.45,11.28,293,41,63.87,11.2,4,1.906,0.131,0.101,0.041,0.322,0.351,0.041,0.006,40.41583333333333,6.3533333333333335,13.1,0.0505,0.82,0.8049999999999999,0.11699999999999999,2.05,26.0,0.12,4.490648148148148,1.0845561479465493,18.79025301967436,49.41583333333333,49.41583333333333,25.46294392033543
AJA22,3.84199686,7.311324678,69.58,24.53,29.32,11.85,285,43,69.32,10.86,4,1.348,0.114,0.098,0.038,0.298,0.337,0.036,0.006,32.14633333333334,4.493333333333334,11.4,0.049,0.7599999999999999,0.7449999999999999,0.11233333333333334,1.7999999999999998,21.666666666666668,0.12,3.5718148148148154,0.9681277288224316,15.658000114085526,41.14633333333334,41.14633333333334,20.25457379454927
AJA23,3.843547413,7.312460391,70.55,25.71,30.04,11.63,312,41,69.44,11.42,2,1.312,0.133,0.108,0.04,0.336,0.288,0.039,0.005,36.51333333333333,4.373333333333334,13.3,0.054,0.7999999999999999,0.84,0.09599999999999999,1.95,23.999999999999996,0.09999999999999999,4.057037037037037,0.9941187384634815,17.34320650274862,45.51333333333333,45.51333333333333,23.00495178197065
AJA24,3.844465817,7.31438873,70.67,25.08,30.85,11.34,301,47,70.07,9.38,4,1.449,0.128,0.12,0.035,0.274,0.305,0.045,0.006,32.879999999999995,4.83,12.8,0.06,0.7000000000000001,0.685,0.10166666666666667,2.25,20.333333333333332,0.12,3.653333333333333,0.9991938808276649,14.749541612463004,41.879999999999995,41.879999999999995,20.71989937106918
AJA25,3.8428437,7.314116633,73.25,25.22,30.66,11.72,314,42,69.56,10.73,4,1.27,0.139,0.117,0.031,0.301,0.297,0.035,0.006,35.199999999999996,4.233333333333333,13.9,0.0585,0.62,0.7525,0.09899999999999999,1.7500000000000002,22.666666666666668,0.12,3.9111111111111105,0.9695156645510473,16.399646187089783,44.199999999999996,44.199999999999996,22.178993710691824
