Model,Train R²,Test R²,CV R² (mean),CV R² (std),Train RMSE,Test RMSE,Train MAE,Test MAE
Random Forest,0.8988177689565429,-0.36640391249458637,0.4962303313718455,0.020162153572417962,0.41301069796328554,5.4952175066882,0.3294411204481802,3.1204118749999994
XGBoost,0.9999814027239632,-0.49720785658846367,0.021631729643616704,0.5973900176339192,0.005599301383116166,5.752231913133085,0.004510674196131107,3.584927409887314
SVR,0.38870911631929517,-0.3718548664554133,0.016865244542695224,0.012088399281514506,1.0151568161507987,5.50616754970794,0.6356110392237736,3.308792493399645
